4:39:58 20/4/2014     -       50000 VND
4:39:58 20/4/2014     -      240000 VND
4:39:58 20/4/2014     -     1000000 VND
4:39:58 20/4/2014     -      200000 VND
4:57:58 20/4/2014     -      360000 VND
4:58:58 20/4/2014     +     1000000 VND
5:3:58 20/4/2014      +      500000 VND
5:5:58 20/4/2014      -     5500000 VND
7:31:58 20/4/2014     -       50000 VND
8:19:58 11/12/2014    -       50000 VND
8:19:58 11/12/2014    -    38000000 VND
8:20:58 11/12/2014    -      500000 VND
8:22:58 11/12/2014    +       10000 VND
